section,question_number,main_question,full_question,sub_question,option_1,option_2,option_3,option_4,correct_option,feedback_1,feedback_2,feedback_3,feedback_4,min_value,max_value,solution,image_url,units,Unnamed: 19
Force Resolution,5,Force Magnitude 3,What is the sum of the forces in the x direction?,What are the three trigonometric functions for a right triangle?,$\sin q = \frac{o}{h};\cos q = \frac{a}{h};\tan q = \frac{o}{a}$,$\sin q = \frac{a}{h};\cos q = \frac{o}{a};\tan q = \frac{o}{h}$,$\sin q = \frac{o}{h};\cos q = \frac{a}{h};\tan q = \frac{o}{h}$,$\sin q = \frac{a}{h};\cos q = \frac{a}{h};\tan q = \frac{o}{h}$,1,Correct: matches standard SOH CAH TOA.,"Incorrect: swaps opposite/adjacent in sine and cosine, and misdefines tangent.","Incorrect: defines tangent as opposite/hypotenuse, not opposite/adjacent.",Incorrect: both sine and cosine use adjacent/hypotenuse wrong.,196.2,196.2,"**1. What are the three trigonometric functions for a right triangle?** $ \sin(\theta)=\frac{\text{opposite}}{\text{hypotenuse}}, \cos(\theta)=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan(\theta)=\frac{\text{opposite}}{\text{adjacent}}.$**2. What is the horizontal component of P?** The 61^\circ angle is measured from the horizontal, so$F_{P_x}=P\cos(61^\circ)=170;\mathrm{N}\times\cos(61^\circ)\approx170\times0.4848=82.4;\mathrm{N}.$**3. What is the horizontal component of Q?** The 28^\circ angle is also from the horizontal, so$F_{Q_x}=Q\cos(28^\circ)=200;\mathrm{N}\times\cos(28^\circ)\approx200\times0.8829=176.6;\mathrm{N}.$**4. What is the horizontal component of S?** The 50^\circ angle is measured from the vertical, so its horizontal piece is$F_{S_x}=-, S\sin(50^\circ)=-82;\mathrm{N}\times\sin(50^\circ)\approx-82\times0.7660=-62.8;\mathrm{N}.$**5. What is the next step?** Sum the three horizontal components:$F_{x, \rm total}=F_{P_x}+F_{Q_x}+F_{S_x}.$**6. What is the sum of the forces in the x direction?**$F_{x, \rm total}\approx82.4 + 176.6 - 62.8 = 196.2;\mathrm{N}.$ **Answer:** The net force in the x direction is **196.2 N**.",Images/FR_4_5.png,N,
Force Resolution,5,Force Magnitude 3,What is the sum of the forces in the x direction?,What is the horizontal component of P?,$170\cos61^\circ$,$170\cos29^\circ$,$\cos61^\circ$,$120\cos29^\circ$,1,Correct: horizontal component = $170\cos61^\circ$.,Incorrect: uses complement (29 ) that gives vertical component.,Incorrect: missing magnitude (no factor of 170).,Incorrect: wrong magnitude and wrong angle.,196.2,196.2,"**1. What are the three trigonometric functions for a right triangle?** $ \sin(\theta)=\frac{\text{opposite}}{\text{hypotenuse}}, \cos(\theta)=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan(\theta)=\frac{\text{opposite}}{\text{adjacent}}.$**2. What is the horizontal component of P?** The 61^\circ angle is measured from the horizontal, so$F_{P_x}=P\cos(61^\circ)=170;\mathrm{N}\times\cos(61^\circ)\approx170\times0.4848=82.4;\mathrm{N}.$**3. What is the horizontal component of Q?** The 28^\circ angle is also from the horizontal, so$F_{Q_x}=Q\cos(28^\circ)=200;\mathrm{N}\times\cos(28^\circ)\approx200\times0.8829=176.6;\mathrm{N}.$**4. What is the horizontal component of S?** The 50^\circ angle is measured from the vertical, so its horizontal piece is$F_{S_x}=-, S\sin(50^\circ)=-82;\mathrm{N}\times\sin(50^\circ)\approx-82\times0.7660=-62.8;\mathrm{N}.$**5. What is the next step?** Sum the three horizontal components:$F_{x, \rm total}=F_{P_x}+F_{Q_x}+F_{S_x}.$**6. What is the sum of the forces in the x direction?**$F_{x, \rm total}\approx82.4 + 176.6 - 62.8 = 196.2;\mathrm{N}.$ **Answer:** The net force in the x direction is **196.2 N**.",Images/FR_4_5.png,N,
Force Resolution,5,Force Magnitude 3,What is the sum of the forces in the x direction?,What is the horizontal component of Q?,$170\cos61^\circ$,$200\cos28^\circ$,$-200\cos28^\circ$,$200\sin28^\circ$,2,"Incorrect: that s P s component, not Q s.",Correct: horizontal component = $200\cos28^\circ$.,Incorrect: wrong sign (component is positive).,Incorrect: uses sine (vertical) instead of cosine.,196.2,196.2,"**1. What are the three trigonometric functions for a right triangle?** $ \sin(\theta)=\frac{\text{opposite}}{\text{hypotenuse}}, \cos(\theta)=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan(\theta)=\frac{\text{opposite}}{\text{adjacent}}.$**2. What is the horizontal component of P?** The 61^\circ angle is measured from the horizontal, so$F_{P_x}=P\cos(61^\circ)=170;\mathrm{N}\times\cos(61^\circ)\approx170\times0.4848=82.4;\mathrm{N}.$**3. What is the horizontal component of Q?** The 28^\circ angle is also from the horizontal, so$F_{Q_x}=Q\cos(28^\circ)=200;\mathrm{N}\times\cos(28^\circ)\approx200\times0.8829=176.6;\mathrm{N}.$**4. What is the horizontal component of S?** The 50^\circ angle is measured from the vertical, so its horizontal piece is$F_{S_x}=-, S\sin(50^\circ)=-82;\mathrm{N}\times\sin(50^\circ)\approx-82\times0.7660=-62.8;\mathrm{N}.$**5. What is the next step?** Sum the three horizontal components:$F_{x, \rm total}=F_{P_x}+F_{Q_x}+F_{S_x}.$**6. What is the sum of the forces in the x direction?**$F_{x, \rm total}\approx82.4 + 176.6 - 62.8 = 196.2;\mathrm{N}.$ **Answer:** The net force in the x direction is **196.2 N**.",Images/FR_4_5.png,N,
Force Resolution,5,Force Magnitude 3,What is the sum of the forces in the x direction?,What is the horizontal component of S?,$170\cos61^\circ$,$82\sin40^\circ$,$82\cos40^\circ$,$-82\cos40^\circ$,4,Incorrect: that s P again.,Incorrect: wrong function (sin40 instead of cos40 =sin50 ).,Incorrect: missing negative (S points left).,Correct: $-82\cos40^\circ=-82\sin50^\circ$ (leftwards).,196.2,196.2,"**1. What are the three trigonometric functions for a right triangle?** $ \sin(\theta)=\frac{\text{opposite}}{\text{hypotenuse}}, \cos(\theta)=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan(\theta)=\frac{\text{opposite}}{\text{adjacent}}.$**2. What is the horizontal component of P?** The 61^\circ angle is measured from the horizontal, so$F_{P_x}=P\cos(61^\circ)=170;\mathrm{N}\times\cos(61^\circ)\approx170\times0.4848=82.4;\mathrm{N}.$**3. What is the horizontal component of Q?** The 28^\circ angle is also from the horizontal, so$F_{Q_x}=Q\cos(28^\circ)=200;\mathrm{N}\times\cos(28^\circ)\approx200\times0.8829=176.6;\mathrm{N}.$**4. What is the horizontal component of S?** The 50^\circ angle is measured from the vertical, so its horizontal piece is$F_{S_x}=-, S\sin(50^\circ)=-82;\mathrm{N}\times\sin(50^\circ)\approx-82\times0.7660=-62.8;\mathrm{N}.$**5. What is the next step?** Sum the three horizontal components:$F_{x, \rm total}=F_{P_x}+F_{Q_x}+F_{S_x}.$**6. What is the sum of the forces in the x direction?**$F_{x, \rm total}\approx82.4 + 176.6 - 62.8 = 196.2;\mathrm{N}.$ **Answer:** The net force in the x direction is **196.2 N**.",Images/FR_4_5.png,N,
Force Resolution,5,Force Magnitude 3,What is the sum of the forces in the x direction?,What is the next step?,use the Pythagorean theorem,find the resultant force of the two vectors,sum up the forces in the y direction,sum up the forces in the x direction,4,Incorrect: Pythagorean theorem comes after summing components.,"Incorrect: resultant is the final goal, not the next step.",Incorrect: that sums the wrong axis (y).,Correct: sum horizontal components first to get $F_x$.,196.2,196.2,"**1. What are the three trigonometric functions for a right triangle?** $ \sin(\theta)=\frac{\text{opposite}}{\text{hypotenuse}}, \cos(\theta)=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan(\theta)=\frac{\text{opposite}}{\text{adjacent}}.$**2. What is the horizontal component of P?** The 61^\circ angle is measured from the horizontal, so$F_{P_x}=P\cos(61^\circ)=170;\mathrm{N}\times\cos(61^\circ)\approx170\times0.4848=82.4;\mathrm{N}.$**3. What is the horizontal component of Q?** The 28^\circ angle is also from the horizontal, so$F_{Q_x}=Q\cos(28^\circ)=200;\mathrm{N}\times\cos(28^\circ)\approx200\times0.8829=176.6;\mathrm{N}.$**4. What is the horizontal component of S?** The 50^\circ angle is measured from the vertical, so its horizontal piece is$F_{S_x}=-, S\sin(50^\circ)=-82;\mathrm{N}\times\sin(50^\circ)\approx-82\times0.7660=-62.8;\mathrm{N}.$**5. What is the next step?** Sum the three horizontal components:$F_{x, \rm total}=F_{P_x}+F_{Q_x}+F_{S_x}.$**6. What is the sum of the forces in the x direction?**$F_{x, \rm total}\approx82.4 + 176.6 - 62.8 = 196.2;\mathrm{N}.$ **Answer:** The net force in the x direction is **196.2 N**.",Images/FR_4_5.png,N,
Force Resolution,5,Force Magnitude 3,What is the sum of the forces in the x direction?,What is the sum of the forces in the x direction?,,,,,,,,,,196.2,196.2,"**1. What are the three trigonometric functions for a right triangle?** $ \sin(\theta)=\frac{\text{opposite}}{\text{hypotenuse}}, \cos(\theta)=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan(\theta)=\frac{\text{opposite}}{\text{adjacent}}.$**2. What is the horizontal component of P?** The 61^\circ angle is measured from the horizontal, so$F_{P_x}=P\cos(61^\circ)=170;\mathrm{N}\times\cos(61^\circ)\approx170\times0.4848=82.4;\mathrm{N}.$**3. What is the horizontal component of Q?** The 28^\circ angle is also from the horizontal, so$F_{Q_x}=Q\cos(28^\circ)=200;\mathrm{N}\times\cos(28^\circ)\approx200\times0.8829=176.6;\mathrm{N}.$**4. What is the horizontal component of S?** The 50^\circ angle is measured from the vertical, so its horizontal piece is$F_{S_x}=-, S\sin(50^\circ)=-82;\mathrm{N}\times\sin(50^\circ)\approx-82\times0.7660=-62.8;\mathrm{N}.$**5. What is the next step?** Sum the three horizontal components:$F_{x, \rm total}=F_{P_x}+F_{Q_x}+F_{S_x}.$**6. What is the sum of the forces in the x direction?**$F_{x, \rm total}\approx82.4 + 176.6 - 62.8 = 196.2;\mathrm{N}.$ **Answer:** The net force in the x direction is **196.2 N**.",Images/FR_4_5.png,N,
Force Resolution,6,Force Vector 1,What is the angle of the resultant vector?,What are the three trigonometric functions for a right triangle?,$\sin q=\tfrac{o}{h};\cos q=\tfrac{a}{h};\tan q=\tfrac{o}{a}$,$\sin q=\tfrac{a}{h};\cos q=\tfrac{o}{a};\tan q=\tfrac{o}{h}$,$\sin q=\tfrac{o}{h};\cos q=\tfrac{a}{h};\tan q=\tfrac{o}{h}$,$\sin q=\tfrac{a}{h};\cos q=\tfrac{a}{h};\tan q=\tfrac{o}{h}$,1,Correct: matches SOH CAH TOA definitions.,"Incorrect: swaps opposite/adjacent in sine and cosine, and misdefines tangent.",Incorrect: uses hypotenuse in tangent.,Incorrect: both sine and cosine use adjacent/hypotenuse wrong.,1.4,1.4,"**1. What are the three trigonometric functions for a right triangle?** $ \sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}, \cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan\theta=\frac{\text{opposite}}{\text{adjacent}}.$**2. What are the vertical components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1y}&=340\sin(68^\circ), F_{2y}&=-,298\sin(71^\circ), F_{3y}&=-,76\sin(23^\circ). \end{aligned}$**3. What is the sum of the forces in the y direction?**$F_{y, \rm total} =340\sin(68^\circ);-;298\sin(71^\circ);-;76\sin(23^\circ) \approx3.78;\mathrm{N}.$**4. What are the horizontal components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1x}&=340\cos(68^\circ), F_{2x}&=298\cos(71^\circ), F_{3x}&=-,76\cos(23^\circ). \end{aligned}$**5. What is the sum of the forces in the x direction?**$F_{x, \rm total} =340\cos(68^\circ);+;298\cos(71^\circ);-;76\cos(23^\circ) \approx154.43;\mathrm{N}.$**6. How would you solve for the angle of the resultant vector?** Use$\theta=\arctan!\Bigl(\frac{F_{y, \rm total}}{F_{x, \rm total}}\Bigr).$**7. What is the angle of the resultant vector?**$\theta =\arctan!\Bigl(\tfrac{3.78}{154.43}\Bigr) \approx1.40^\circ \approx1.4^\circ\text{ above the positive $x$-axis.}$**Answer:** The resultant vector makes an angle of about **1.4^\circ** above the positive$x$-axis.",Images/FR_6.png,N,
Force Resolution,6,Force Vector 1,What is the angle of the resultant vector?,"What are the vertical components of F , F and F ?",$F_{1y}=340\sin68^\circ;F_{2y}=-298\sin71^\circ;F_{3y}=-76\sin23^\circ$,$F_{1y}=-298\sin71^\circ;F_{2y}=340\sin68^\circ;F_{3y}=-76\sin23^\circ$,$F_{1y}=340\sin68^\circ;F_{2y}=-298\sin71^\circ;F_{3y}=-76\sin23^\circ$,$F_{1y}=340\sin68^\circ;F_{2y}=298\sin71^\circ;F_{3y}=-76\sin23^\circ$,3,Incorrect: mixes up F & F .,Incorrect: swaps F & F magnitudes.,Correct: signs match each vector s up/down direction.,Incorrect: F sign is wrong (should be negative).,1.4,1.4,"**1. What are the three trigonometric functions for a right triangle?** $ \sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}, \cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan\theta=\frac{\text{opposite}}{\text{adjacent}}.$**2. What are the vertical components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1y}&=340\sin(68^\circ), F_{2y}&=-,298\sin(71^\circ), F_{3y}&=-,76\sin(23^\circ). \end{aligned}$**3. What is the sum of the forces in the y direction?**$F_{y, \rm total} =340\sin(68^\circ);-;298\sin(71^\circ);-;76\sin(23^\circ) \approx3.78;\mathrm{N}.$**4. What are the horizontal components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1x}&=340\cos(68^\circ), F_{2x}&=298\cos(71^\circ), F_{3x}&=-,76\cos(23^\circ). \end{aligned}$**5. What is the sum of the forces in the x direction?**$F_{x, \rm total} =340\cos(68^\circ);+;298\cos(71^\circ);-;76\cos(23^\circ) \approx154.43;\mathrm{N}.$**6. How would you solve for the angle of the resultant vector?** Use$\theta=\arctan!\Bigl(\frac{F_{y, \rm total}}{F_{x, \rm total}}\Bigr).$**7. What is the angle of the resultant vector?**$\theta =\arctan!\Bigl(\tfrac{3.78}{154.43}\Bigr) \approx1.40^\circ \approx1.4^\circ\text{ above the positive $x$-axis.}$**Answer:** The resultant vector makes an angle of about **1.4^\circ** above the positive$x$-axis.",Images/FR_6.png,N,
Force Resolution,6,Force Vector 1,What is the angle of the resultant vector?,What is the sum of the forces in the y direction?,$175 \mathrm{N}$,$12.45 \mathrm{N}$,$285.4 \mathrm{N}$,$3.78 \mathrm{N}$,4,"Incorrect: sum of magnitudes, ignoring signs.",Incorrect: too small mismatch combination of components.,Incorrect: only F s component.,Correct: $F_y\approx3.78 \mathrm{N}$ after summing signed components.,1.4,1.4,"**1. What are the three trigonometric functions for a right triangle?** $ \sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}, \cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan\theta=\frac{\text{opposite}}{\text{adjacent}}.$**2. What are the vertical components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1y}&=340\sin(68^\circ), F_{2y}&=-,298\sin(71^\circ), F_{3y}&=-,76\sin(23^\circ). \end{aligned}$**3. What is the sum of the forces in the y direction?**$F_{y, \rm total} =340\sin(68^\circ);-;298\sin(71^\circ);-;76\sin(23^\circ) \approx3.78;\mathrm{N}.$**4. What are the horizontal components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1x}&=340\cos(68^\circ), F_{2x}&=298\cos(71^\circ), F_{3x}&=-,76\cos(23^\circ). \end{aligned}$**5. What is the sum of the forces in the x direction?**$F_{x, \rm total} =340\cos(68^\circ);+;298\cos(71^\circ);-;76\cos(23^\circ) \approx154.43;\mathrm{N}.$**6. How would you solve for the angle of the resultant vector?** Use$\theta=\arctan!\Bigl(\frac{F_{y, \rm total}}{F_{x, \rm total}}\Bigr).$**7. What is the angle of the resultant vector?**$\theta =\arctan!\Bigl(\tfrac{3.78}{154.43}\Bigr) \approx1.40^\circ \approx1.4^\circ\text{ above the positive $x$-axis.}$**Answer:** The resultant vector makes an angle of about **1.4^\circ** above the positive$x$-axis.",Images/FR_6.png,N,
Force Resolution,6,Force Vector 1,What is the angle of the resultant vector?,"What are the horizontal components of F , F and F ?",$F_{1x}=340\cos68^\circ;F_{2x}=-76\cos23^\circ;F_{3x}=-298\cos71^\circ$,$F_{1x}=340\cos68^\circ;F_{2x}=298\cos71^\circ;F_{3x}=-76\cos23^\circ$,$F_{1x}=340\cos68^\circ;F_{2x}=-298\sin71^\circ;F_{3x}=-76\cos23^\circ$,$F_{1x}=340\sin68^\circ;F_{2x}=-298\sin71^\circ;F_{3x}=-76\sin23^\circ$,2,Incorrect: F & F swapped.,Correct: matches each vector s left/right direction and uses cos for horizontal.,Incorrect: uses sin on F (vertical).,Incorrect: uses sin for all.,1.4,1.4,"**1. What are the three trigonometric functions for a right triangle?** $ \sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}, \cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan\theta=\frac{\text{opposite}}{\text{adjacent}}.$**2. What are the vertical components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1y}&=340\sin(68^\circ), F_{2y}&=-,298\sin(71^\circ), F_{3y}&=-,76\sin(23^\circ). \end{aligned}$**3. What is the sum of the forces in the y direction?**$F_{y, \rm total} =340\sin(68^\circ);-;298\sin(71^\circ);-;76\sin(23^\circ) \approx3.78;\mathrm{N}.$**4. What are the horizontal components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1x}&=340\cos(68^\circ), F_{2x}&=298\cos(71^\circ), F_{3x}&=-,76\cos(23^\circ). \end{aligned}$**5. What is the sum of the forces in the x direction?**$F_{x, \rm total} =340\cos(68^\circ);+;298\cos(71^\circ);-;76\cos(23^\circ) \approx154.43;\mathrm{N}.$**6. How would you solve for the angle of the resultant vector?** Use$\theta=\arctan!\Bigl(\frac{F_{y, \rm total}}{F_{x, \rm total}}\Bigr).$**7. What is the angle of the resultant vector?**$\theta =\arctan!\Bigl(\tfrac{3.78}{154.43}\Bigr) \approx1.40^\circ \approx1.4^\circ\text{ above the positive $x$-axis.}$**Answer:** The resultant vector makes an angle of about **1.4^\circ** above the positive$x$-axis.",Images/FR_6.png,N,
Force Resolution,6,Force Vector 1,What is the angle of the resultant vector?,What is the sum of the forces in the x direction?,$63.06 \mathrm{N}$,$122.625 \mathrm{N}$,$135 \mathrm{N}$,$154.43 \mathrm{N}$,4,Incorrect: only F s horizontal component.,Incorrect: missing one vector.,Incorrect: inaccurate sum.,Correct: $F_x\approx154.43 \mathrm{N}$.,1.4,1.4,"**1. What are the three trigonometric functions for a right triangle?** $ \sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}, \cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan\theta=\frac{\text{opposite}}{\text{adjacent}}.$**2. What are the vertical components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1y}&=340\sin(68^\circ), F_{2y}&=-,298\sin(71^\circ), F_{3y}&=-,76\sin(23^\circ). \end{aligned}$**3. What is the sum of the forces in the y direction?**$F_{y, \rm total} =340\sin(68^\circ);-;298\sin(71^\circ);-;76\sin(23^\circ) \approx3.78;\mathrm{N}.$**4. What are the horizontal components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1x}&=340\cos(68^\circ), F_{2x}&=298\cos(71^\circ), F_{3x}&=-,76\cos(23^\circ). \end{aligned}$**5. What is the sum of the forces in the x direction?**$F_{x, \rm total} =340\cos(68^\circ);+;298\cos(71^\circ);-;76\cos(23^\circ) \approx154.43;\mathrm{N}.$**6. How would you solve for the angle of the resultant vector?** Use$\theta=\arctan!\Bigl(\frac{F_{y, \rm total}}{F_{x, \rm total}}\Bigr).$**7. What is the angle of the resultant vector?**$\theta =\arctan!\Bigl(\tfrac{3.78}{154.43}\Bigr) \approx1.40^\circ \approx1.4^\circ\text{ above the positive $x$-axis.}$**Answer:** The resultant vector makes an angle of about **1.4^\circ** above the positive$x$-axis.",Images/FR_6.png,N,
Force Resolution,6,Force Vector 1,What is the angle of the resultant vector?,How would you solve for the angle of the resultant vector?,$\sin q=\tfrac{a}{h}$,$\tan q=\tfrac{\text{vertical}}{\text{horizontal}}$,$\cos q=\tfrac{a}{h}$,$\tan q=\tfrac{\cos q}{\sin q}$,2,"Incorrect: sine uses opp/hyp, not opp/adj.",Correct: use $\tan \theta = F_y/F_x$ to get the resultant s angle.,"Incorrect: cosine uses adj/hyp, not opp/adj.",Incorrect: inverts the tangent function.,1.4,1.4,"**1. What are the three trigonometric functions for a right triangle?** $ \sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}, \cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan\theta=\frac{\text{opposite}}{\text{adjacent}}.$**2. What are the vertical components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1y}&=340\sin(68^\circ), F_{2y}&=-,298\sin(71^\circ), F_{3y}&=-,76\sin(23^\circ). \end{aligned}$**3. What is the sum of the forces in the y direction?**$F_{y, \rm total} =340\sin(68^\circ);-;298\sin(71^\circ);-;76\sin(23^\circ) \approx3.78;\mathrm{N}.$**4. What are the horizontal components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1x}&=340\cos(68^\circ), F_{2x}&=298\cos(71^\circ), F_{3x}&=-,76\cos(23^\circ). \end{aligned}$**5. What is the sum of the forces in the x direction?**$F_{x, \rm total} =340\cos(68^\circ);+;298\cos(71^\circ);-;76\cos(23^\circ) \approx154.43;\mathrm{N}.$**6. How would you solve for the angle of the resultant vector?** Use$\theta=\arctan!\Bigl(\frac{F_{y, \rm total}}{F_{x, \rm total}}\Bigr).$**7. What is the angle of the resultant vector?**$\theta =\arctan!\Bigl(\tfrac{3.78}{154.43}\Bigr) \approx1.40^\circ \approx1.4^\circ\text{ above the positive $x$-axis.}$**Answer:** The resultant vector makes an angle of about **1.4^\circ** above the positive$x$-axis.",Images/FR_6.png,N,
Force Resolution,6,Force Vector 1,What is the angle of the resultant vector?,What is the angle of the resultant vector?,,,,,,,,,,1.4,1.4,"**1. What are the three trigonometric functions for a right triangle?** $ \sin\theta=\frac{\text{opposite}}{\text{hypotenuse}}, \cos\theta=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan\theta=\frac{\text{opposite}}{\text{adjacent}}.$**2. What are the vertical components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1y}&=340\sin(68^\circ), F_{2y}&=-,298\sin(71^\circ), F_{3y}&=-,76\sin(23^\circ). \end{aligned}$**3. What is the sum of the forces in the y direction?**$F_{y, \rm total} =340\sin(68^\circ);-;298\sin(71^\circ);-;76\sin(23^\circ) \approx3.78;\mathrm{N}.$**4. What are the horizontal components of$F_1$,$F_2$and$F_3$?**$\begin{aligned} F_{1x}&=340\cos(68^\circ), F_{2x}&=298\cos(71^\circ), F_{3x}&=-,76\cos(23^\circ). \end{aligned}$**5. What is the sum of the forces in the x direction?**$F_{x, \rm total} =340\cos(68^\circ);+;298\cos(71^\circ);-;76\cos(23^\circ) \approx154.43;\mathrm{N}.$**6. How would you solve for the angle of the resultant vector?** Use$\theta=\arctan!\Bigl(\frac{F_{y, \rm total}}{F_{x, \rm total}}\Bigr).$**7. What is the angle of the resultant vector?**$\theta =\arctan!\Bigl(\tfrac{3.78}{154.43}\Bigr) \approx1.40^\circ \approx1.4^\circ\text{ above the positive $x$-axis.}$**Answer:** The resultant vector makes an angle of about **1.4^\circ** above the positive$x$-axis.",Images/FR_6.png,N,
Force Resolution,7,Force Vector 2,What is the resultant force acting on the patella if $Q= 150 N$ and $T = 95 N$?,What are the trig identities for a triangle?,$a+b+g=360^\circ;a^2=b^2+c^2-2bc\cos a;b^2=a^2+c^2-2ac\cos b;b^2=a^2+c^2-2ac\cos g;\dfrac{a}{\sin a}=\dfrac{b}{\sin b}=\dfrac{c}{\sin g}$,$a+b+g=180^\circ;a^2=b^2+c^2-2bc\cos a;b^2=a^2+c^2-2ac\cos b;b^2=a^2+c^2-2ac\cos g;\dfrac{a}{\cos a}=\dfrac{b}{\sin b}=\dfrac{c}{\cos g}$,$a+b+g=180^\circ;a^2=b^2+c^2-2bc\cos a;b^2=a^2+c^2-2ac\cos b;c^2=a^2+b^2-2ab\cos g;\dfrac{a}{\sin a}=\dfrac{b}{\sin b}=\dfrac{c}{\sin g}$,$a+b+g=180^\circ;a^2=b^2+c^2-2b c\sin a;b^2=a^2+c^2-2a c\sin b;b^2=a^2+c^2-2a c\sin g;\dfrac{a}{\sin a}=\dfrac{b}{\sin b}=\dfrac{c}{\sin g}$,3,Incorrect: triangles sum to 360 only in non-Euclidean contexts.,Incorrect: uses cosine/sine mixes inconsistent with the law of sines.,"Correct: uses angle sum 180 , all three variants of the law of cosines, and the law of sines.",Incorrect: mixes cosines and sines incorrectly in cosine law terms.,123.19,123.2,"**1. What are the trigonometric identities for a triangle?** $ \sin(\theta)=\frac{\text{opposite}}{\text{hypotenuse}}, \cos(\theta)=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan(\theta)=\frac{\text{opposite}}{\text{adjacent}}.$**2. Which identity would you use for the magnitude of the resultant?** Use the **law of cosines**, noting that the vectors$Q$and$T$subtend an external angle of$180^\circ-55^\circ$, so$R^2 = Q^2 + T^2 - 2, Q, T, \cos(55^\circ).$**3. What is the resultant force acting on the patella?**$R = \sqrt{,150^2 + 95^2 ;-;2,(150)(95)\cos(55^\circ),} \approx123.2;\mathrm{N}.$ **Answer:** The resultant force is approximately **123.2 N**.",Images/FR_7_8.png,N,
Force Resolution,7,Force Vector 2,What is the resultant force acting on the patella if $Q= 150 N$ and $T = 95 N$?,Which identity would you use for the magnitude of the resultant?,$a^2=b^2+c^2$ (Pythagorean theorem),$a^2=b^2+c^2-2bc\cos a$ (cosine law),$a^2=\tfrac{a}{\sin^2a}$ ( Mercuri theorem),$\dfrac{a}{\sin a}=\dfrac{b}{\sin b}=\dfrac{c}{\sin g}$ (sine law),2,Incorrect: only applies when forces are perpendicular (not 55 here).,Correct: the law of cosines handles arbitrary enclosed angle between Q and T.,Incorrect: no standard Mercuri theorem angle in denominator is misused.,"Incorrect: sine law gives ratios, not resultant magnitude directly.",123.19,123.2,"**1. What are the trigonometric identities for a triangle?** $ \sin(\theta)=\frac{\text{opposite}}{\text{hypotenuse}}, \cos(\theta)=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan(\theta)=\frac{\text{opposite}}{\text{adjacent}}.$**2. Which identity would you use for the magnitude of the resultant?** Use the **law of cosines**, noting that the vectors$Q$and$T$subtend an external angle of$180^\circ-55^\circ$, so$R^2 = Q^2 + T^2 - 2, Q, T, \cos(55^\circ).$**3. What is the resultant force acting on the patella?**$R = \sqrt{,150^2 + 95^2 ;-;2,(150)(95)\cos(55^\circ),} \approx123.2;\mathrm{N}.$ **Answer:** The resultant force is approximately **123.2 N**.",Images/FR_7_8.png,N,
Force Resolution,7,Force Vector 2,What is the resultant force acting on the patella if $Q= 150 N$ and $T = 95 N$?,What is the resultant force acting on the patella?,,,,,,,,,,123.19,123.2,"**1. What are the trigonometric identities for a triangle?** $ \sin(\theta)=\frac{\text{opposite}}{\text{hypotenuse}}, \cos(\theta)=\frac{\text{adjacent}}{\text{hypotenuse}}, \tan(\theta)=\frac{\text{opposite}}{\text{adjacent}}.$**2. Which identity would you use for the magnitude of the resultant?** Use the **law of cosines**, noting that the vectors$Q$and$T$subtend an external angle of$180^\circ-55^\circ$, so$R^2 = Q^2 + T^2 - 2, Q, T, \cos(55^\circ).$**3. What is the resultant force acting on the patella?**$R = \sqrt{,150^2 + 95^2 ;-;2,(150)(95)\cos(55^\circ),} \approx123.2;\mathrm{N}.$ **Answer:** The resultant force is approximately **123.2 N**.",Images/FR_7_8.png,N,
